epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,7238.98,2.03194,1.00196,1.65024,0.84306,1,0.995,0.86417,1.01032,0.79823,1.6671,0.000225,0.000225,0.000225
12,7895.35,2.00364,0.88629,1.63453,0.98366,1,0.995,0.88146,1.05977,0.71762,1.67803,0.0001975,0.0001975,0.0001975
13,8550.73,1.86946,0.82163,1.60875,0.97475,1,0.995,0.85819,0.97686,0.64579,1.67168,0.00017,0.00017,0.00017
14,9206,1.86799,0.85096,1.6276,0.97096,1,0.995,0.8809,0.89884,0.68705,1.65632,0.0001425,0.0001425,0.0001425
15,9859.86,1.7885,0.75528,1.61481,0.85116,1,0.995,0.86393,0.93825,0.97901,1.64709,0.000115,0.000115,0.000115
16,10512.4,1.85075,0.79811,1.61425,0.81189,0.96273,0.995,0.88368,0.91005,1.16248,1.64202,8.75e-05,8.75e-05,8.75e-05
17,11167.2,1.69134,0.72828,1.62157,0.81679,1,0.995,0.89666,0.88698,0.92264,1.6422,6e-05,6e-05,6e-05
18,11824.2,1.66535,0.71775,1.61989,0.82327,0.96353,0.995,0.89537,0.87214,0.93483,1.63976,3.25e-05,3.25e-05,3.25e-05
1,680.527,1.60098,0.69819,1.61862,0.82065,0.99122,0.995,0.86395,0.94427,0.86821,1.63487,0.00013,0.00013,0.00013
2,1341.08,1.82271,0.78614,1.61371,0.93009,0.88142,0.98574,0.84346,1.09028,0.9503,1.66285,0.000258441,0.000258441,0.000258441
3,1995.15,1.92692,0.89708,1.62791,0.85239,0.98216,0.995,0.83719,1.01179,0.69356,1.65646,0.0003802,0.0003802,0.0003802
4,2649.28,1.83989,0.83552,1.61231,0.80863,0.94237,0.99056,0.80463,1.16896,1.35895,1.68478,0.000462875,0.000462875,0.000462875
5,3305.46,1.94927,0.91398,1.64908,0.92175,0.97922,0.995,0.79071,1.19738,0.91086,1.71546,0.0004505,0.0004505,0.0004505
6,3962.79,1.97292,0.96401,1.62188,0.84111,0.96474,0.995,0.82249,1.24469,1.51207,1.71571,0.000438125,0.000438125,0.000438125
7,4616.97,1.96481,0.97341,1.63627,0.89359,0.91635,0.98158,0.83192,1.1543,1.46307,1.70409,0.00042575,0.00042575,0.00042575
8,5271.25,1.97799,0.99983,1.63903,0.88806,0.93422,0.99056,0.81368,1.119,1.2559,1.66412,0.000413375,0.000413375,0.000413375
9,5927.54,1.93497,0.98139,1.65186,0.59119,0.82524,0.90089,0.7549,1.17383,1.58044,1.7047,0.000401,0.000401,0.000401
10,6582.47,2.02113,0.96959,1.64749,0.79915,1,0.93944,0.79657,1.02477,0.73294,1.67149,0.000388625,0.000388625,0.000388625
